Sample Name	Protocol REF	Parameter Value[Concentration measurement]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Provider name]	Parameter Value[Provider contact]	Parameter Value[Provider project ID]	Parameter Value[Provider sample ID]	Parameter Value[Provider QC status]	Parameter Value[Requestor contact]	Parameter Value[Requestor project]	Parameter Value[Requestor sample ID]	Parameter Value[Concentration measurement]	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Parameter Value[Target insert size]	Parameter Value[Wet-lab insert size]	Parameter Value[Barcode kit]	Parameter Value[Barcode kit catalogue ID]	Parameter Value[Barcode name]	Parameter Value[Barcode sequence]	Performer	Date	Extract Name	Characteristics[Folder name]	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Performer	Date	Raw Data File	Library Name
RR057e_00037	Nucleic acid extraction mRNA_seq				RR057e_00037					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00037	alpha					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00037
RR057e_00039	Nucleic acid extraction mRNA_seq				RR057e_00039					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00039	beta					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00039
RR057e_00042	Nucleic acid extraction mRNA_seq				RR057e_00042					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00042	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00042
RR057e_00047	Nucleic acid extraction mRNA_seq				RR057e_00047					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00047	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00047
RR057e_00049	Nucleic acid extraction mRNA_seq				RR057e_00049					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00049	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00049
RR057e_00051	Nucleic acid extraction mRNA_seq				RR057e_00051					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00051	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00051
RR057e_00052	Nucleic acid extraction mRNA_seq				RR057e_00052					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00052	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00052
RR057e_00058	Nucleic acid extraction mRNA_seq				RR057e_00058					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00058	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00058
RR057e_00060	Nucleic acid extraction mRNA_seq				RR057e_00060					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00060	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00060
RR057e_00066	Nucleic acid extraction mRNA_seq				RR057e_00066					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00066	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00066
RR057e_00073	Nucleic acid extraction mRNA_seq				RR057e_00073					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00073	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00073
RR057e_00074	Nucleic acid extraction mRNA_seq				RR057e_00074					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00074	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00074
RR057e_00076	Nucleic acid extraction mRNA_seq				RR057e_00076					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00076	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00076
RR057e_00079	Nucleic acid extraction mRNA_seq				RR057e_00079					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00079	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00079
RR057e_00080	Nucleic acid extraction mRNA_seq				RR057e_00080					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00080	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00080
RR057e_00084	Nucleic acid extraction mRNA_seq				RR057e_00084					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00084	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00084
RR057e_00086	Nucleic acid extraction mRNA_seq				RR057e_00086					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00086	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00086
RR057e_00088	Nucleic acid extraction mRNA_seq				RR057e_00088					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00088	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00088
RR057e_00093	Nucleic acid extraction mRNA_seq				RR057e_00093					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00093	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00093
RR057e_00102	Nucleic acid extraction mRNA_seq				RR057e_00102					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00102	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00102
RR057e_00105	Nucleic acid extraction mRNA_seq				RR057e_00105					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00105	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00105
RR057e_00107	Nucleic acid extraction mRNA_seq				RR057e_00107					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00107	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00107
RR057e_00116	Nucleic acid extraction mRNA_seq				RR057e_00116					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00116	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00116
RR057e_00117	Nucleic acid extraction mRNA_seq				RR057e_00117					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00117	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00117
RR057e_00119	Nucleic acid extraction mRNA_seq				RR057e_00119					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00119	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00119
RR057e_00130	Nucleic acid extraction mRNA_seq				RR057e_00130					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00130	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00130
RR057e_00131	Nucleic acid extraction mRNA_seq				RR057e_00131					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00131	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00131
