Sample Name	Protocol REF	Performer	Date	Extract Name	Protocol REF	Performer	Date	Parameter Value[Chip]	Parameter Value[Chip ID]	Parameter Value[Manufacturer]	Labeled Extract Name	Label	Protocol REF	Performer	Date	Hybridization Assay Name	Array Design REF	Protocol REF	Performer	Date	Scan Name	Image File	Array Data File	Array Data Matrix File	Protocol REF	Performer	Date	Normalization Name	Derived Array Data File	Protocol REF	Performer	Date	Data Transformation Name	Derived Array Data Matrix File
CTRL004M	Nucleic acid extraction			CTRL004M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL004M		Nucleic acid hybridization			CTRL004M		Data collection			CTRL004M				Normalization data transformation					Data transformation				
CTRL005M	Nucleic acid extraction			CTRL005M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL005M		Nucleic acid hybridization			CTRL005M		Data collection			CTRL005M				Normalization data transformation					Data transformation				
TB008M	Nucleic acid extraction			TB008M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB008M		Nucleic acid hybridization			TB008M		Data collection			TB008M				Normalization data transformation					Data transformation				
TB002M	Nucleic acid extraction			TB002M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB002M		Nucleic acid hybridization			TB002M		Data collection			TB002M				Normalization data transformation					Data transformation				
CTRL004N	Nucleic acid extraction			CTRL004N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL004N		Nucleic acid hybridization			CTRL004N		Data collection			CTRL004N				Normalization data transformation					Data transformation				
CTRL005N	Nucleic acid extraction			CTRL005N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL005N		Nucleic acid hybridization			CTRL005N		Data collection			CTRL005N				Normalization data transformation					Data transformation				
TB008N	Nucleic acid extraction			TB008N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB008N		Nucleic acid hybridization			TB008N		Data collection			TB008N				Normalization data transformation					Data transformation				
TB002N	Nucleic acid extraction			TB002N	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	TB002N		Nucleic acid hybridization			TB002N		Data collection			TB002N				Normalization data transformation					Data transformation				
CTRL008M	Nucleic acid extraction			CTRL008M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL008M		Nucleic acid hybridization			CTRL008M		Data collection			CTRL008M				Normalization data transformation					Data transformation				
CTRL002M	Nucleic acid extraction			CTRL002M	Labeling			human 8-by-60,000 custom layout design 041580	041580	Agilent Technologies	CTRL002M		Nucleic acid hybridization			CTRL002M		Data collection			CTRL002M				Normalization data transformation					Data transformation				
